Source,CH3,,
Second,Volt,,
-0.11724,0.11,,
-0.11722,0.106,,
-0.1172,0.122,,
-0.11718,0.1,,
-0.11716,0.13,,
-0.11714,0.126,,
-0.11712,0.124,,
-0.1171,0.142,,
-0.11708,0.124,,
-0.11706,0.154,,
-0.117039988,0.136,,
-0.11702,0.144,,
-0.117,0.17,,
-0.11698,0.14,,
-0.11696,0.158,,
-0.11694,0.146,,
-0.11692,0.16,,
-0.1169,0.152,,
-0.11688,0.144,,
-0.11686,0.166,,
-0.11684,0.144,,
-0.11682,0.162,,
-0.1168,0.144,,
-0.11678,0.15,,
-0.11676,0.166,,
-0.11674,0.144,,
-0.11672,0.154,,
-0.116699988,0.154,,
-0.11668,0.152,,
-0.11666,0.158,,
-0.11664,0.144,,
-0.11662,0.148,,
-0.1166,0.15,,
-0.11658,0.148,,
-0.11656,0.15,,
-0.11654,0.146,,
-0.11652,0.152,,
-0.1165,0.14,,
-0.11648,0.144,,
-0.11646,0.146,,
-0.11644,0.136,,
-0.116419988,0.146,,
-0.1164,0.132,,
-0.11638,0.136,,
-0.11636,0.142,,
-0.11634,0.136,,
-0.11632,0.142,,
-0.1163,0.144,,
-0.11628,0.144,,
-0.11626,0.136,,
-0.11624,0.128,,
-0.11622,0.136,,
-0.1162,0.134,,
-0.11618,0.132,,
-0.11616,0.13,,
-0.11614,-0.188,,
-0.11612,0.084,,
-0.1161,0.064,,
-0.116079988,0.082,,
-0.11606,0.094,,
-0.11604,0.086,,
-0.11602,0.092,,
-0.116,0.078,,
-0.11598,0.086,,
-0.11596,0.08,,
-0.11594,0.086,,
-0.11592,0.096,,
-0.1159,0.078,,
-0.11588,0.082,,
-0.11586,0.076,,
-0.11584,0.088,,
-0.11582,0.072,,
-0.1158,0.02,,
-0.11578,0.014,,
-0.11576,0,,
-0.11574,0.006,,
-0.11572,0.006,,
-0.1157,0.018,,
-0.11568,0.018,,
-0.11566,0.024,,
-0.11564,0.03,,
-0.11562,0.034,,
-0.1156,0.046,,
-0.11558,0.058,,
-0.11556,0.072,,
-0.11554,0.074,,
-0.11552,0.078,,
-0.1155,0.088,,
-0.11548,0.098,,
-0.115459988,0.104,,
-0.11544,0.104,,
-0.11542,0.114,,
-0.1154,0.106,,
-0.11538,0.124,,
-0.11536,0.114,,
-0.11534,0.13,,
-0.11532,0.122,,
-0.1153,0.134,,
-0.11528,0.142,,
-0.11526,0.122,,
-0.11524,0.134,,
-0.11522,0.124,,
-0.1152,0.138,,
-0.11518,0.112,,
-0.11516,0.098,,
-0.11514,0.112,,
-0.115119988,0.084,,
-0.1151,0.088,,
-0.11508,0.05,,
-0.11506,0.062,,
-0.11504,0.048,,
-0.11502,0.05,,
-0.115,0.076,,
-0.11498,0.09,,
-0.11496,0.122,,
-0.11494,0.13,,
-0.11492,0.17,,
-0.1149,0.19,,
-0.11488,0.178,,
-0.11486,0.192,,
-0.114839988,0.176,,
-0.11482,0.184,,
-0.1148,0.154,,
-0.11478,0.142,,
-0.11476,0.132,,
-0.11474,0.126,,
-0.11472,0.112,,
-0.1147,0.114,,
-0.11468,0.098,,
-0.11466,0.104,,
-0.11464,0.108,,
-0.11462,0.108,,
-0.1146,0.116,,
-0.11458,0.114,,
-0.11456,0.136,,
-0.11454,0.126,,
-0.11452,0.128,,
-0.114499988,0.158,,
-0.11448,0.144,,
-0.11446,0.168,,
-0.11444,0.14,,
-0.11442,0.172,,
-0.1144,0.164,,
-0.11438,0.148,,
-0.11436,0.17,,
-0.11434,0.15,,
-0.11432,0.162,,
-0.1143,0.142,,
-0.11428,0.164,,
-0.11426,0.17,,
-0.11424,0.146,,
-0.11422,0.162,,
-0.1142,0.152,,
-0.11418,0.18,,
-0.11416,0.154,,
-0.11414,0.154,,
-0.11412,0.17,,
-0.1141,0.162,,
-0.11408,0.162,,
-0.11406,0.166,,
-0.11404,0.174,,
-0.11402,0.176,,
-0.114,0.176,,
-0.11398,0.176,,
-0.11396,0.172,,
-0.11394,0.162,,
-0.11392,0.17,,
-0.1139,0.166,,
-0.113879988,0.16,,
-0.11386,0.166,,
-0.11384,0.154,,
-0.11382,0.17,,
-0.1138,0.152,,
-0.11378,0.162,,
-0.11376,0.16,,
-0.11374,0.146,,
-0.11372,0.154,,
-0.1137,0.142,,
-0.11368,0.146,,
-0.11366,0.134,,
-0.11364,0.14,,
-0.11362,0.142,,
-0.1136,0.12,,
-0.11358,0.132,,
-0.11356,0.124,,
-0.11354,0.138,,
-0.11352,0.126,,
-0.1135,0.124,,
-0.11348,0.13,,
-0.11346,0.12,,
-0.11344,0.128,,
-0.11342,0.13,,
-0.1134,0.13,,
-0.11338,0.128,,
-0.11336,0.126,,
-0.11334,0.128,,
-0.11332,0.118,,
-0.1133,0.114,,
-0.11328,0.116,,
-0.113259988,0.116,,
-0.11324,0.104,,
-0.11322,0.096,,
-0.1132,0.104,,
-0.11318,0.106,,
-0.11316,0.092,,
-0.11314,0.094,,
-0.11312,0.088,,
-0.1131,0.09,,
-0.11308,0.086,,
-0.11306,0.082,,
-0.11304,0.088,,
-0.11302,0.086,,
-0.113,0.088,,
-0.11298,0.086,,
-0.11296,0.088,,
-0.11294,0.09,,
-0.112919988,0.082,,
-0.1129,0.084,,
-0.11288,0.08,,
-0.11286,0.08,,
-0.11284,0.084,,
-0.11282,0.078,,
-0.1128,0.084,,
-0.11278,0.066,,
-0.11276,0.054,,
-0.11274,0.058,,
-0.11272,0.058,,
-0.1127,0.06,,
-0.11268,0.054,,
-0.11266,0.052,,
-0.11264,0.054,,
-0.11262,0.058,,
-0.1126,0.058,,
-0.11258,0.046,,
-0.11256,0.062,,
-0.11254,0.052,,
-0.11252,0.042,,
-0.1125,0.05,,
-0.11248,0.04,,
-0.11246,0.054,,
-0.11244,0.042,,
-0.11242,0.038,,
-0.1124,0.046,,
-0.11238,0.022,,
-0.11236,0.028,,
-0.11234,0.012,,
-0.11232,0.028,,
-0.112299988,0.016,,
-0.11228,0.006,,
-0.11226,0.03,,
-0.11224,0.012,,
-0.11222,0.026,,
-0.1122,0.024,,
-0.11218,0.022,,
-0.11216,0.036,,
-0.11214,0.02,,
-0.11212,0.028,,
-0.1121,0.028,,
-0.11208,0.02,,
-0.11206,0.038,,
-0.11204,0.016,,
-0.11202,0.086,,
-0.112,0.014,,
-0.11198,0.026,,
-0.11196,0.068,,
-0.11194,0.02,,
-0.11192,0.038,,
-0.1119,0.016,,
-0.11188,0.088,,
-0.11186,0.026,,
-0.11184,0.038,,
-0.11182,0.056,,
-0.1118,0.036,,
